GSEA_RSbp_NAME	GSEA_RSbp_ES	GSEA_RSbp_NOM.p.val	GSEA_SCbp_NAME	GSEA_SCbp_ES	GSEA_SCbp_NOM.p.val	GSEA_SCIIbp_NAME	GSEA_SCIIbp_ES	GSEA_SCIIbp_NOM.p.val
GO_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	0.5314563	0	GO_NEGATIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	0.48392442	0	GO_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	0.59343004	0
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.55605435	0	GO_TISSUE_HOMEOSTASIS	0.4675424	0	GO_STEROL_METABOLIC_PROCESS	0.57240653	0
GO_STRIATED_MUSCLE_CONTRACTION	0.53167	0	GO_ORGANIC_ACID_CATABOLIC_PROCESS	0.45851985	0	GO_NEUROTRANSMITTER_BIOSYNTHETIC_PROCESS	0.5972474	0
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	0.52470535	0	GO_REGULATION_OF_LIPID_METABOLIC_PROCESS	0.45275787	0	GO_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS	0.5848972	0
GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	0.53028476	0	GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION	0.45323518	0	GO_DIGESTIVE_SYSTEM_PROCESS	0.5977832	0
GO_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	0.5545256	0	GO_RESPONSE_TO_BACTERIUM	0.44344607	0	GO_STEROID_METABOLIC_PROCESS	0.5517246	0
GO_REGULATION_OF_BLOOD_CIRCULATION	0.51591754	0	GO_TISSUE_MIGRATION	0.44437176	0	GO_REGULATION_OF_SYNAPTIC_PLASTICITY	0.5616916	0
GO_RESPONSE_TO_XENOBIOTIC_STIMULUS	0.50974107	0	GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS	0.43174443	0	GO_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING	0.5941143	0
GO_HEART_PROCESS	0.511442	0	GO_INFLAMMATORY_RESPONSE	0.41310683	0	GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.5696554	0
GO_INOSITOL_LIPID_MEDIATED_SIGNALING	0.51965714	0	GO_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	0.39899647	0	GO_POSITIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS	0.56898445	0
GO_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	0.5005456	0	GO_RESPONSE_TO_TOXIC_SUBSTANCE	0.40774783	0.001	GO_RESPONSE_TO_INTERFERON_GAMMA	0.5541546	0
GO_CELL_JUNCTION_ORGANIZATION	0.49523404	0	GO_LIPID_BIOSYNTHETIC_PROCESS	0.3809378	0.001	GO_TISSUE_REMODELING	0.55831593	0
GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION	0.4929552	0	GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.43970093	0.001004016	GO_HORMONE_METABOLIC_PROCESS	0.54882044	0
GO_RESPONSE_TO_WOUNDING	0.48203072	0	GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.49701753	0.0010111224	GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS	0.5539116	0
GO_CELL_JUNCTION_ASSEMBLY	0.48849717	0	GO_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	0.5174681	0.0010131713	GO_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	0.5670363	0
GO_REGULATION_OF_SYSTEM_PROCESS	0.48223755	0	GO_SMOOTH_MUSCLE_CELL_PROLIFERATION	0.51591146	0.0010141988	GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.54520434	0
GO_CELL_CELL_ADHESION	0.4790686	0	GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	0.47819299	0.00101833	GO_RESPONSE_TO_ORGANOPHOSPHORUS	0.5515672	0
GO_REGULATION_OF_BODY_FLUID_LEVELS	0.4777104	0	GO_REGULATION_OF_STEROID_METABOLIC_PROCESS	0.5063518	0.001019368	GO_DEFENSE_RESPONSE_TO_BACTERIUM	0.5520125	0
GO_COAGULATION	0.48204526	0	GO_TISSUE_REMODELING	0.50830907	0.0010204081	GO_TEMPERATURE_HOMEOSTASIS	0.5360292	0
GO_SYNAPSE_ORGANIZATION	0.48075762	0	GO_DEFENSE_RESPONSE_TO_BACTERIUM	0.54254436	0.0010214505	GO_COGNITION	0.52690494	0
GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION	0.48657742	0	GO_RENAL_SYSTEM_PROCESS	0.5130943	0.0010309279	GO_STEROID_BIOSYNTHETIC_PROCESS	0.5347239	0
GO_AXON_DEVELOPMENT	0.46833864	0	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	0.5285858	0.0010405828	GO_REGULATION_OF_WOUND_HEALING	0.5430829	0
GO_MUSCLE_STRUCTURE_DEVELOPMENT	0.46712795	0	GO_IRON_ION_HOMEOSTASIS	0.54213417	0.0010438414	GO_REGULATION_OF_CHEMOTAXIS	0.53635496	0
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	0.46910188	0	GO_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION	0.5498586	0.001059322	GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	0.5351084	0
GO_MUSCLE_SYSTEM_PROCESS	0.4658652	0	GO_LEUKOCYTE_MEDIATED_CYTOTOXICITY	0.5830763	0.0010649627	GO_INORGANIC_ANION_TRANSPORT	0.54262584	0
GO_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY	0.45974818	0	GO_BONE_RESORPTION	0.62613654	0.0010706638	GO_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	0.52855146	0
GO_CYTOKINE_PRODUCTION	0.45000258	0	GO_SALIVARY_GLAND_DEVELOPMENT	0.6054009	0.0010857764	GO_PEPTIDYL_TYROSINE_MODIFICATION	0.52115184	0
GO_BEHAVIOR	0.45577022	0	GO_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM	0.6138801	0.0011135858	GO_RESPONSE_TO_PURINE_CONTAINING_COMPOUND	0.5329468	0
GO_WOUND_HEALING	0.45659858	0	GO_RESPONSE_TO_ZINC_ION	0.67336273	0.0011467889	GO_TISSUE_HOMEOSTASIS	0.530057	0
GO_LEUKOCYTE_DIFFERENTIATION	0.45190945	0	GO_ACYLGLYCEROL_HOMEOSTASIS	0.73522866	0.0011737089	GO_BEHAVIOR	0.5126354	0
GO_REGULATION_OF_CELL_ADHESION	0.44851682	0	GO_SMALL_MOLECULE_CATABOLIC_PROCESS	0.4271695	0.002	GO_ENDOTHELIAL_CELL_PROLIFERATION	0.5339777	0
GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS	0.4460556	0	GO_REGULATION_OF_VASCULATURE_DEVELOPMENT	0.42466518	0.002	GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	0.52406514	0
GO_SYNAPTIC_SIGNALING	0.44471833	0	GO_FATTY_ACID_METABOLIC_PROCESS	0.4225654	0.002	GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS	0.50777274	0
GO_CELL_PART_MORPHOGENESIS	0.44426617	0	GO_CIRCULATORY_SYSTEM_PROCESS	0.4015266	0.002	GO_REGULATION_OF_BODY_FLUID_LEVELS	0.5099984	0
GO_RESPONSE_TO_BACTERIUM	0.44809398	0	GO_RESPONSE_TO_WOUNDING	0.39358002	0.002	GO_COAGULATION	0.513507	0
GO_LYMPHOCYTE_ACTIVATION	0.44125575	0	GO_PEPTIDE_SECRETION	0.39725107	0.002	GO_REGULATION_OF_CELLULAR_KETONE_METABOLIC_PROCESS	0.51702714	0
GO_REGULATION_OF_NEURON_DIFFERENTIATION	0.4405669	0	GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	0.38622218	0.002	GO_RESPONSE_TO_XENOBIOTIC_STIMULUS	0.51556325	0
GO_SKELETAL_SYSTEM_DEVELOPMENT	0.44529784	0	GO_STEROID_BIOSYNTHETIC_PROCESS	0.47432336	0.002002002	GO_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	0.5165099	0
GO_SENSORY_ORGAN_DEVELOPMENT	0.43859887	0	GO_COAGULATION	0.42562228	0.002002002	GO_RESPONSE_TO_BACTERIUM	0.5037908	0
GO_CARDIOVASCULAR_SYSTEM_DEVELOPMENT	0.43371922	0	GO_ENDOTHELIAL_CELL_MIGRATION	0.45182776	0.002008032	GO_ORGANIC_HYDROXY_COMPOUND_TRANSPORT	0.51351917	0
GO_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	0.42822728	0	GO_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT	0.4776838	0.0020181634	GO_INFLAMMATORY_RESPONSE	0.49732065	0
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0.4215325	0	GO_T_CELL_PROLIFERATION	0.487585	0.002020202	GO_ALCOHOL_METABOLIC_PROCESS	0.4983538	0
GO_REGULATION_OF_LIPID_METABOLIC_PROCESS	0.46029958	0.001	GO_CELLULAR_HORMONE_METABOLIC_PROCESS	0.52315295	0.0020618557	GO_ADAPTIVE_THERMOGENESIS	0.5101538	0
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.44110674	0.001	GO_XENOBIOTIC_METABOLIC_PROCESS	0.5258144	0.0020811656	GO_REGULATION_OF_LIPID_METABOLIC_PROCESS	0.49360138	0
GO_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	0.44701537	0.001	GO_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION	0.5227801	0.0020855058	GO_LEUKOCYTE_PROLIFERATION	0.5044064	0
GO_INNATE_IMMUNE_RESPONSE	0.42911652	0.001	GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	0.57461643	0.002105263	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	0.49551216	0
GO_MUSCLE_ORGAN_DEVELOPMENT	0.45687318	0.001004016	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING	0.5391421	0.002118644	GO_MULTI_MULTICELLULAR_ORGANISM_PROCESS	0.50095123	0
GO_REGULATION_OF_ION_TRANSPORT	0.42781293	0.001004016	GO_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION	0.60921764	0.0021978023	GO_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	0.4916054	0
GO_MUSCLE_CELL_DIFFERENTIATION	0.4590198	0.0010060362	GO_POSITIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS	0.62033373	0.002219756	GO_FATTY_ACID_METABOLIC_PROCESS	0.4879612	0
GO_REGULATION_OF_VASCULATURE_DEVELOPMENT	0.46351123	0.0010080645	GO_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	0.62643975	0.0022222223	GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION	0.48540145	0
GO_MAINTENANCE_OF_LOCATION	0.45837745	0.0010080645	GO_GLUTAMINE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	0.6952287	0.0022883294	GO_REGULATION_OF_VASCULATURE_DEVELOPMENT	0.4883911	0
GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION	0.46543014	0.0010090817	GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	0.41210327	0.003	GO_ORGANIC_ACID_TRANSPORT	0.48535278	0
GO_MUSCLE_CONTRACTION	0.49679357	0.0010111224	GO_STEROID_METABOLIC_PROCESS	0.43247712	0.003006012	GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	0.47867265	0
GO_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	0.47935987	0.0010131713	GO_POSITIVE_REGULATION_OF_ION_TRANSPORT	0.43305162	0.003012048	GO_ORGANIC_ANION_TRANSPORT	0.48000878	0
GO_HORMONE_METABOLIC_PROCESS	0.5046309	0.0010245901	GO_PLATELET_ACTIVATION	0.47190982	0.003058104	GO_POSITIVE_REGULATION_OF_ION_TRANSPORT	0.4897568	0
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	0.5129683	0.0010309279	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	0.52950597	0.0031055901	GO_TISSUE_MIGRATION	0.48077732	0
GO_CYTOSOLIC_CALCIUM_ION_TRANSPORT	0.5301494	0.0010351967	GO_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	0.5501419	0.003131524	GO_ANION_TRANSPORT	0.4736819	0
GO_EPIDERMAL_CELL_DIFFERENTIATION	0.50509286	0.0010373445	GO_INTERLEUKIN_1_BETA_PRODUCTION	0.5716784	0.0032573289	GO_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS	0.47598976	0
GO_INORGANIC_ANION_TRANSPORT	0.5400943	0.0010615712	GO_GLUTATHIONE_METABOLIC_PROCESS	0.58830506	0.0032608695	GO_ION_HOMEOSTASIS	0.4733033	0
GO_ADULT_BEHAVIOR	0.5387832	0.0010683761	GO_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	0.5812938	0.0032858707	GO_RECEPTOR_MEDIATED_ENDOCYTOSIS	0.4759217	0
GO_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	0.5578675	0.0010706638	GO_POSITIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	0.6398633	0.0033860046	GO_METAL_ION_HOMEOSTASIS	0.47309572	0
GO_ACTIN_MEDIATED_CELL_CONTRACTION	0.5402735	0.0010729614	GO_POSITIVE_REGULATION_OF_ORGANIC_ACID_TRANSPORT	0.70179546	0.0034802784	GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	0.47759074	0
GO_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT	0.54955655	0.0011086474	GO_HISTONE_H2A_MONOUBIQUITINATION	0.6828071	0.0035629454	GO_SYNAPTIC_SIGNALING	0.46573123	0
GO_RESPONSE_TO_AXON_INJURY	0.6028401	0.0011248594	GO_RESPONSE_TO_STEROID_HORMONE	0.40501216	0.004	GO_REGULATION_OF_HORMONE_LEVELS	0.47298113	0
GO_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	0.6469259	0.0011415525	GO_REGULATION_OF_BODY_FLUID_LEVELS	0.39680967	0.004	GO_WOUND_HEALING	0.46759215	0
GO_POSITIVE_REGULATION_OF_ANION_TRANSPORT	0.6781589	0.0011627907	GO_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	0.3754263	0.004	GO_POSITIVE_REGULATION_OF_CELL_ADHESION	0.4687356	0
GO_POSITIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	0.64233774	0.0011682243	GO_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	0.4317923	0.004004004	GO_RESPONSE_TO_WOUNDING	0.46121636	0
GO_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION	0.6742383	0.0011806375	GO_STRIATED_MUSCLE_CELL_DIFFERENTIATION	0.4302233	0.004004004	GO_AMEBOIDAL_TYPE_CELL_MIGRATION	0.4656033	0
GO_RESPONSE_TO_DEXAMETHASONE	0.67703915	0.0011976048	GO_MYELOID_LEUKOCYTE_DIFFERENTIATION	0.4615793	0.004032258	GO_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	0.46041366	0
GO_POSITIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS	0.6791946	0.0011990408	GO_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	0.47256735	0.004060914	GO_REGULATION_OF_MEMBRANE_POTENTIAL	0.46516714	0
GO_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION	0.6455137	0.0012004802	GO_RESPONSE_TO_INTERFERON_GAMMA	0.4944827	0.00407332	GO_REGULATION_OF_ION_TRANSPORT	0.46072373	0
GO_CELLULAR_RESPONSE_TO_DEXAMETHASONE_STIMULUS	0.7106209	0.0012150669	GO_ADULT_BEHAVIOR	0.48280704	0.00407332	GO_CELL_CELL_ADHESION	0.45762375	0
GO_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	0.6646097	0.0012195122	GO_REGULATION_OF_RESPONSE_TO_WOUNDING	0.47203475	0.00407332	GO_DRUG_METABOLIC_PROCESS	0.4591409	0
GO_POSITIVE_REGULATION_OF_LIPID_KINASE_ACTIVITY	0.7062586	0.0012269939	GO_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS	0.47423363	0.00407332	GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	0.46076223	0
GO_NEGATIVE_REGULATION_OF_LIPID_TRANSPORT	0.6928395	0.001305483	GO_POSITIVE_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	0.5059713	0.004149378	GO_CELLULAR_ION_HOMEOSTASIS	0.4578024	0
GO_METAL_ION_HOMEOSTASIS	0.42667615	0.002	GO_RELAXATION_OF_MUSCLE	0.64580464	0.004484305	GO_INNATE_IMMUNE_RESPONSE	0.4543293	0
GO_ION_HOMEOSTASIS	0.4177022	0.002	GO_CARBOHYDRATE_PHOSPHORYLATION	0.61495167	0.00456621	GO_DIVALENT_INORGANIC_CATION_TRANSPORT	0.45877054	0
GO_LIPID_BIOSYNTHETIC_PROCESS	0.41008314	0.002	GO_REPLACEMENT_OSSIFICATION	0.6851779	0.004672897	GO_CYTOKINE_PRODUCTION	0.45310816	0
GO_TAXIS	0.44421437	0.002002002	GO_MYELOID_LEUKOCYTE_ACTIVATION	0.39392284	0.005	GO_REGULATION_OF_CELL_ADHESION	0.45326328	0
GO_CELL_SUBSTRATE_ADHESION	0.44958717	0.002004008	GO_REGULATION_OF_CELL_ACTIVATION	0.39450693	0.005	GO_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	0.44809964	0
GO_INFLAMMATORY_RESPONSE	0.43535808	0.002004008	GO_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	0.407633	0.005005005	GO_LIPID_BIOSYNTHETIC_PROCESS	0.44228452	0
GO_CIRCULATORY_SYSTEM_PROCESS	0.45337462	0.002006018	GO_RESPONSE_TO_ALKALOID	0.5010295	0.0051493305	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.4427101	0
GO_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT	0.4284157	0.002006018	GO_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	0.50591844	0.005197505	GO_MYELOID_LEUKOCYTE_ACTIVATION	0.44158277	0
GO_MUSCLE_TISSUE_DEVELOPMENT	0.4495386	0.002008032	GO_NUCLEOSIDE_PHOSPHATE_CATABOLIC_PROCESS	0.5095601	0.0052246605	GO_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	0.44409692	0
GO_REGULATION_OF_MEMBRANE_POTENTIAL	0.4589039	0.0020100502	GO_POSITIVE_REGULATION_OF_CELL_KILLING	0.6389872	0.0055370987	GO_REGULATION_OF_DEFENSE_RESPONSE	0.4424596	0
GO_REGULATION_OF_HORMONE_LEVELS	0.44289672	0.0020100502	GO_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION	0.6310491	0.0056689344	GO_IMPORT_INTO_CELL	0.43470538	0
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	0.45827672	0.0020120724	GO_NEGATIVE_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	0.64713234	0.0058616647	GO_SENSORY_ORGAN_DEVELOPMENT	0.4352067	0
GO_POSITIVE_REGULATION_OF_NEURON_DIFFERENTIATION	0.44930556	0.0020120724	GO_LEUKOCYTE_MEDIATED_IMMUNITY	0.37291968	0.006	GO_CELL_PART_MORPHOGENESIS	0.42764843	0
GO_UROGENITAL_SYSTEM_DEVELOPMENT	0.449585	0.0020140987	GO_REGULATION_OF_CELL_CELL_ADHESION	0.40326166	0.006006006	GO_REGULATION_OF_SECRETION	0.423104	0
GO_STRIATED_MUSCLE_CELL_DIFFERENTIATION	0.4663665	0.0020222447	GO_ERK1_AND_ERK2_CASCADE	0.4284002	0.006012024	GO_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE	0.4197246	0
GO_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	0.46400625	0.0020242915	GO_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS	0.49292487	0.006128703	GO_CELLULAR_KETONE_METABOLIC_PROCESS	0.5062739	0.001
GO_COGNITION	0.46051425	0.0020283975	GO_POSITIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS	0.47973692	0.006153846	GO_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	0.48796096	0.001
GO_STEROID_BIOSYNTHETIC_PROCESS	0.49963766	0.002051282	GO_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION	0.50305414	0.0061919503	GO_STRIATED_MUSCLE_CELL_DIFFERENTIATION	0.4799992	0.001
GO_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	0.48696214	0.0020533882	GO_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS	0.4993198	0.0062111802	GO_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	0.4756172	0.001
GO_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	0.503183	0.0020554985	GO_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS	0.5197041	0.006322445	GO_SENSORY_PERCEPTION	0.46586537	0.001
GO_OSTEOBLAST_DIFFERENTIATION	0.47866225	0.002057613	GO_REGULATION_OF_COAGULATION	0.5332318	0.006342495	GO_REGULATION_OF_CELL_ACTIVATION	0.460442	0.001
GO_LEUKOCYTE_PROLIFERATION	0.4788549	0.0020618557	GO_CELLULAR_IRON_ION_HOMEOSTASIS	0.5293435	0.006369427	GO_SECOND_MESSENGER_MEDIATED_SIGNALING	0.46508756	0.001
